시험ID,분류,조건과행동,측정값,합격기준_시험전확정,표본수_시험전확정,장비품목모델버전,결과증거경로,판정,검토자,검토일,비고
F01,설치조건,고정마운트 조명 검사면 높이 해상도 확정,최소결함 픽셀크기와 촬영품질,,,,,대기,,,검사면을 위로 고정
F02,기동,재부팅 후 프로그램 모델 카메라 준비,준비완료 초 및 오류,,,,,대기,,,차가운 기동과 재시작 구분
F03,정상검사,분리된 정상 실물과 위치 회전 변화,정상 NG 및 REVIEW 비율,,,,,대기,,,같은 실물 반복 촬영과 독립 실물 수 분리
F04,알려진NG,NG01부터 NG06 및 복합불량,불량별 검출누락 OK통과 보류 코드재현율,,,,,대기,,,제품 최종 기준 확정 후 실행
F05,미등록NG,학습에 없는 결함 형태와 크기,NG OK REVIEW MISSED ERROR 분포,,,,,대기,,,모든 미등록 불량 탐지를 보장할 수 없음
F06,빈작업대,물체 없는 프레임과 배경 변화,추가검출 및 잘못된 집기요청 수,,,,,대기,,,검출 0을 검사 정상 완료로 오해하지 않는지 확인
F07,다중물체,1개 4개 8개와 최대운영개수,검출 시간과 모든 물체 판정완료 시간 p95 p99 최대값,,,,,대기,,,원본도착부터 화면표시까지 별도 측정
F08,추적,정지 이동 제거 재투입 가림 및 유사물체 교차,ID교체 중복검사 이전판정재사용 수,,,,,대기,,,완전히 가려져 바뀐 실물의 영구 동일성은 보장 불가
F09,검사제어,검사중단 영상유지 재개 선택재검사,중단후 판정공개 및 중복등록 수,,,,,대기,,,중단 시점의 저장중 결과 포함
F10,촬영불량,흐림 노출불량 겹침 영역이탈,보류와 재촬영 및 집기차단,,,,,대기,,,VLM으로 품질문제를 정상처리하지 않음
F11,VLM OFF,분석진행 중 OFF와 다시 ON,취소 지연과 추가요청 수,,,,,대기,,,기본판정과 과거분석 이력 보존
F12,VLM ON,연속검사 중 추가분석과 모델적재,기본검사 p95 지연 분석지연 큐깊이 실패율,,,,,대기,,,실제 설명 정확도 별도 검토
F13,카메라복구,실제 케이블단절 정지프레임 재연결,감지시간 과거결과차단 수동재개,,,,,대기,,,현재 장비로 물리 시험
F14,로봇연동,좌표보정 후 집기 분류 놓기 성공확인,XY오차 집기성공률 중복명령 및 제한시간,,,,,대기,,,실제 높이 도구 충돌여유 포함
F15,로봇복구,집기 이동 중 통신단절과 정지,정지 대응 미확인명령 재전송 차단,,,,,대기,,,비상정지는 실제 장비 회로 절차로 검증
F16,저장복구,용량부족 쓰기실패 비정상종료 후 기동,오류보존 불완전결과차단 백업복원 무결성,,,,,대기,,,승인된 별도 시험 저장소 사용
F17,장시간,합의된 최대투입률로 연속 운전,프레임지연 메모리 저장증가 큐적체 장애횟수,,,,,대기,,,2분 소프트웨어 시험으로 대체하지 않음
F18,노트북,RTX5070 최종 모델과 실제 입력,준비시간 검출 판정 VLM경합 메모리,,,,,대기,,,3090 측정치를 전용하지 않음
F19,출고,기능 성능 현장 미해결항목 검토 후 설치패키지 검증,승인된 요구사항과 결함 목록,,,,,대기,,,16단계 설치 및 배포 최종 승인
